month;wage
01.01.1993;15.3
01.02.1993;19.1
01.03.1993;23.6
01.04.1993;30.6
01.05.1993;37.5
01.06.1993;47.4
01.07.1993;56.0
01.08.1993;65.4
01.09.1993;80.9
01.10.1993;93.0
01.11.1993;101.5
01.12.1993;141.2
01.01.1994;134.2
01.02.1994;144.7
01.03.1994;164.8
01.04.1994;171.5
01.05.1994;183.5
01.06.1994;207.5
01.07.1994;221.0
01.08.1994;232.8
01.09.1994;253.2
01.10.1994;265.0
01.11.1994;281.6
01.12.1994;354.2
01.01.1995;302.6
01.02.1995;321.0
01.03.1995;361.5
01.04.1995;386.2
01.05.1995;429.9
01.06.1995;480.6
01.07.1995;499.5
01.08.1995;520.6
01.09.1995;564.5
01.10.1995;594.5
01.11.1995;615.7
01.12.1995;735.5
01.01.1996;654.8
01.02.1996;684.4
01.03.1996;745.0
01.04.1996;746.5
01.05.1996;779.3
01.06.1996;837.2
01.07.1996;842.8
01.08.1996;831.0
01.09.1996;848.1
01.10.1996;843.3
01.11.1996;835.0
01.12.1996;1017.0
01.01.1997;812.0
01.02.1997;821.0
01.03.1997;903.0
01.04.1997;901.0
01.05.1997;920.0
01.06.1997;993.2
01.07.1997;999.1
01.08.1997;982.3
01.09.1997;1026.2
01.10.1997;1006.1
01.11.1997;997.8
01.12.1997;1214.8
01.01.1998;988.0
01.02.1998;1000.0
01.03.1998;1059.0
01.04.1998;1040.0
01.05.1998;1047.0
01.06.1998;1122.0
01.07.1998;1110.0
01.08.1998;1052.0
01.09.1998;1112.0
01.10.1998;1123.0
01.11.1998;1164.0
01.12.1998;1482.0
01.01.1999;1167.0
01.02.1999;1199.0
01.03.1999;1385.0
01.04.1999;1423.0
01.05.1999;1472.0
01.06.1999;1626.0
01.07.1999;1618.0
01.08.1999;1608.0
01.09.1999;1684.0
01.10.1999;1716.0
01.11.1999;1789.0
01.12.1999;2283.0
01.01.2000;1830.0
01.02.2000;1839.0
01.03.2000;2018.0
01.04.2000;2039.0
01.05.2000;2101.0
01.06.2000;2294.0
01.07.2000;2302.0
01.08.2000;2289.0
01.09.2000;2367.0
01.10.2000;2425.0
01.11.2000;2508.0
01.12.2000;3025.0
01.01.2001;2733.0
01.02.2001;2655.0
01.03.2001;2964.0
01.04.2001;2923.0
01.05.2001;3054.0
01.06.2001;3284.0
01.07.2001;3364.0
01.08.2001;3376.0
01.09.2001;3405.0
01.10.2001;3515.0
01.11.2001;3578.0
01.12.2001;4541.0
01.01.2002;3760.0
01.02.2002;3725.0
01.03.2002;4031.0
01.04.2002;4110.0
01.05.2002;4187.0
01.06.2002;4460.0
01.07.2002;4597.0
01.08.2002;4511.0
01.09.2002;4521.0
01.10.2002;4646.0
01.11.2002;4694.0
01.12.2002;5738.0
01.01.2003;4696.0
01.02.2003;4701.0
01.03.2003;4986.0
01.04.2003;5100.0
01.05.2003;5221.0
01.06.2003;5550.0
01.07.2003;5615.0
01.08.2003;5491.0
01.09.2003;5556.0
01.10.2003;5864.0
01.11.2003;5990.0
01.12.2003;7344.0
01.01.2004;5932.0
01.02.2004;6141.0
01.03.2004;6428.0
01.04.2004;6448.0
01.05.2004;6524.0
01.06.2004;7003.0
01.07.2004;6982.0
01.08.2004;6873.0
01.09.2004;6918.0
01.10.2004;6908.0
01.11.2004;7046.0
01.12.2004;8799.0
01.01.2005;7346.0
01.02.2005;7465.0
01.03.2005;8093.0
01.04.2005;8002.0
01.05.2005;8089.0
01.06.2005;8637.0
01.07.2005;8651.0
01.08.2005;8616.0
01.09.2005;8829.0
01.10.2005;8701.0
01.11.2005;8931.0
01.12.2005;11319.0
01.01.2006;9016.0
01.02.2006;9255.0
01.03.2006;9914.0
01.04.2006;9833.0
01.05.2006;10257.0
01.06.2006;11106.0
01.07.2006;10883.0
01.08.2006;10853.0
01.09.2006;11127.0
01.10.2006;11046.0
01.11.2006;11303.0
01.12.2006;14263.0
01.01.2007;11430.0
01.02.2007;11757.0
01.03.2007;12448.0
01.04.2007;12494.0
01.05.2007;12787.0
01.06.2007;13712.0
01.07.2007;13546.0
01.08.2007;13270.0
01.09.2007;13677.0
01.10.2007;13986.0
01.11.2007;14656.0
01.12.2007;18591.0
01.01.2008;14771.0
01.02.2008;15354.0
01.03.2008;16172.0
01.04.2008;16538.0
01.05.2008;16643.0
01.06.2008;17715.0
01.07.2008;17758.0
01.08.2008;17244.0
01.09.2008;17739.0
01.10.2008;17643.0
01.11.2008;17598.0
01.12.2008;21681.0
01.01.2009;17119.0
01.02.2009;17098.0
01.03.2009;18129.0
01.04.2009;18009.0
01.05.2009;18007.0
01.06.2009;19247.0
01.07.2009;18872.0
01.08.2009;18335.0
01.09.2009;18838.0
01.10.2009;18798.0
01.11.2009;19215.0
01.12.2009;23827.0
01.01.2010;18938.0
01.02.2010;19017.0
01.03.2010;20589.0
01.04.2010;20358.0
01.05.2010;20279.0
01.06.2010;21795.0
01.07.2010;21325.0
01.08.2010;20753.0
01.09.2010;20999.0
01.10.2010;20970.0
01.11.2010;21486.0
01.12.2010;28027.0
01.01.2011;20669.0
01.02.2011;20680.0
01.03.2011;22673.0
01.04.2011;22519.0
01.05.2011;22779.0
01.06.2011;24137.0
01.07.2011;23598.0
01.08.2011;23051.0
01.09.2011;23468.0
01.10.2011;23602.0
01.11.2011;24296.0
01.12.2011;32809.0
01.01.2012;23746.0
01.02.2012;24036.0
01.03.2012;25487.0
01.04.2012;25800.0
01.05.2012;26385.0
01.06.2012;27494.0
01.07.2012;26684.0
01.08.2012;25718.0
01.09.2012;25996.0
01.10.2012;26803.0
01.11.2012;27448.0
01.12.2012;36450.0
01.01.2013;26840.0
01.02.2013;26620.0
01.03.2013;28693.0
01.04.2013;30026.0
01.05.2013;29723.0
01.06.2013;30986.0
01.07.2013;30229.0
01.08.2013;29226.0
01.09.2013;29346.0
01.10.2013;30069.0
01.11.2013;30290.0
01.12.2013;39648.0
01.01.2014;29535.0
01.02.2014;29255.0
01.03.2014;31486.0
01.04.2014;32947.0
01.05.2014;32272.0
01.06.2014;33726.0
01.07.2014;32515.0
01.08.2014;30763.0
01.09.2014;31929.0
01.10.2014;32439.0
01.11.2014;32546.0
01.12.2014;42136.0
01.01.2015;30929.0
01.02.2015;31325.0
01.03.2015;32642.0
01.04.2015;34377.0
01.05.2015;34380.0
01.06.2015;35395.0
01.07.2015;33901.0
01.08.2015;32176.0
01.09.2015;32911.0
01.10.2015;33357.0
01.11.2015;33347.0
01.12.2015;43408.0
01.01.2016;32660.0
01.02.2016;33873.0
01.03.2016;35501.0
01.04.2016;36497.0
01.05.2016;37270.0
01.06.2016;38447.0
01.07.2016;35888.0
01.08.2016;34095.0
01.09.2016;35843
01.10.2016;35749
01.11.2016;36195
01.12.2016;47554
01.01.2017;34422
01.02.2017;35497
01.03.2017;37899
01.04.2017;39225
01.05.2017;39679
01.06.2017;41454
01.07.2017;38073
01.08.2017;37099
01.09.2017;38047
01.10.2017;38333
01.11.2017;38848
01.12.2017;51197
01.01.2018;39017
01.02.2018;40443
01.03.2018;42364
01.04.2018;43381
01.05.2018;44076
01.06.2018;45848
01.07.2018;42413
01.08.2018;41364
01.09.2018;41774
01.10.2018;42332
01.11.2018;42595
01.12.2018;55569
01.01.2019;42263
01.02.2019;43062
01.03.2019;46324
01.04.2019;48030
01.05.2019;47926
01.06.2019;49348
01.07.2019;46509
01.08.2019;44961
01.09.2019;45541
01.10.2019;46549
01.11.2019;46285
01.12.2019;62239
01.01.2020;46674
01.02.2020;47257
01.03.2020;50948
01.04.2020;49306
01.05.2020;50747
01.06.2020;52123
01.07.2020;50145
01.08.2020;47649
01.09.2020;49259
01.10.2020;49539
01.11.2020;49274
01.12.2020;69278
01.01.2021;49516
01.02.2021;51229
01.03.2021;55208
